iter	Passed	Remaining
402	11638	17240
403	11667	17211
404	11694	17181
405	11723	17152
406	11752	17123
407	11781	17095
408	11810	17065
409	11840	17038
410	11871	17012
411	11900	16984
412	11928	16954
413	11957	16924
414	11984	16894
415	12013	16865
416	12039	16832
417	12065	16799
418	12093	16769
419	12122	16740
420	12152	16712
421	12182	16685
422	12216	16664
423	12246	16636
424	12274	16607
425	12304	16579
426	12334	16551
427	12361	16520
428	12387	16487
429	12416	16458
430	12444	16428
431	12470	16396
432	12501	16370
433	12531	16342
434	12560	16313
435	12590	16286
436	12617	16255
437	12647	16227
438	12677	16200
439	12706	16171
440	12732	16139
441	12761	16111
442	12791	16082
443	12820	16055
444	12851	16028
445	12880	15999
446	12906	15967
447	12936	15940
448	12967	15913
449	12998	15886
450	13028	15858
451	13055	15828
452	13087	15803
453	13115	15773
454	13144	15744
455	13173	15716
456	13206	15691
457	13233	15660
458	13260	15629
459	13287	15598
460	13313	15566
461	13344	15539
462	13373	15510
463	13400	15480
464	13429	15451
465	13457	15420
466	13485	15390
467	13513	15361
468	13540	15330
469	13568	15300
470	13597	15271
471	13626	15242
472	13654	15213
473	13684	15186
474	13717	15161
475	13746	15132
476	13778	15106
477	13810	15082
478	13841	15055
479	13872	15028
480	13901	15000
481	13930	14971
482	13958	14941
483	13986	14911
484	14012	14879
485	14039	14848
486	14068	14819
487	14094	14787
488	14122	14757
489	14152	14730
490	14187	14707
491	14221	14683
492	14250	14655
493	14280	14627
494	14310	14599
495	14342	14573
496	14373	14547
497	14403	14519
498	14433	14491
499	14460	14460
500	14491	14433
501	14518	14403
502	14547	14374
503	14575	14344
504	14603	14314
505	14630	14283
506	14654	14249
507	14683	14220
508	14712	14191
509	14739	14161
510	14772	14136
511	14801	14107
512	14829	14078
513	14858	14049
514	14884	14017
515	14915	13990
516	14950	13967
517	14980	13939
518	15009	13910
519	15037	13880
520	15065	13851
521	15095	13823
522	15122	13792
523	15153	13764
524	15183	13737
525	15213	13709
526	15243	13681
527	15268	13649
528	15297	13620
529	15330	13595
530	15358	13565
531	15385	13534
532	15414	13506
533	15442	13475
534	15474	13449
535	15502	13420
536	15530	13390
537	15557	13359
538	15584	13329
539	15612	13299
540	15641	13270
541	15669	13240
542	15699	13212
543	15730	13185
544	15762	13159
545	15795	13134
546	15824	13104
547	15855	13078
548	15887	13051
549	15917	13023
550	15947	12995
551	15977	12967
552	16013	12943
553	16040	12913
554	16070	12885
555	16100	12857
556	16128	12827
557	16156	12798
558	16188	12771
559	16214	12739
560	16240	12708
561	16268	12678
562	16295	12648
563	16322	12618
564	16350	12588
565	16378	12559
566	16407	12529
567	16439	12503
568	16469	12474
569	16495	12444
570	16522	12413
571	16550	12384
572	16578	12354
573	16606	12324
574	16635	12295
575	16663	12265
576	16692	12237
577	16721	12208
578	16750	12179
579	16777	12149
580	16805	12119
581	16835	12091
582	16864	12062
583	16892	12032
584	16920	12003
585	16948	11974
586	16975	11943
587	17003	11913
588	17030	11883
589	17063	11857
590	17095	11831
591	17126	11803
592	17162	11779
593	17191	11750
594	17222	11722
595	17250	11693
596	17277	11663
597	17305	11633
598	17335	11605
599	17365	11577
600	17393	11547
601	17422	11518
602	17450	11488
603	17478	11459
604	17504	11428
605	17531	11398
606	17557	11367
607	17587	11339
608	17616	11310
609	17644	11280
610	17670	11250
611	17697	11220
612	17727	11191
613	17757	11163
614	17786	11134
615	17814	11105
616	17842	11075
617	17871	11046
618	17903	11019
619	17933	10991
620	17966	10964
621	17995	10936
622	18027	10908
623	18059	10881
624	18093	10856
625	18126	10829
626	18158	10802
627	18191	10775
628	18217	10745
629	18247	10716
630	18276	10687
631	18306	10659
632	18331	10628
633	18357	10597
634	18386	10568
635	18413	10538
636	18441	10509
637	18468	10479
638	18496	10449
639	18524	10420
640	18551	10390
641	18580	10360
642	18608	10331
643	18639	10303
644	18669	10275
645	18697	10246
646	18726	10217
647	18754	10187
648	18783	10158
649	18809	10128
650	18837	10098
651	18866	10069
652	18894	10040
653	18925	10012
654	18957	9985
655	18985	9955
656	19015	9927
657	19044	9898
658	19072	9869
659	19100	9839
660	19128	9810
661	19162	9783
662	19194	9756
663	19222	9727
664	19250	9697
665	19275	9666
666	19303	9637
667	19329	9606
668	19357	9577
669	19389	9549
670	19418	9521
671	19447	9492
672	19476	9463
673	19505	9434
674	19534	9405
675	19561	9375
676	19590	9346
677	19617	9316
678	19643	9286
679	19671	9257
680	19701	9228
681	19732	9200
682	19762	9172
683	19789	9142
684	19818	9113
685	19843	9083
686	19871	9053
687	19898	9023
688	19927	8994
689	19956	8965
690	19988	8938
691	20017	8909
692	20048	8881
693	20076	8852
694	20109	8824
695	20141	8797
696	20173	8770
697	20205	8742
698	20232	8712
699	20264	8684
700	20291	8655
701	20319	8625
702	20347	8596
703	20375	8567
704	20402	8537
705	20433	8508
706	20461	8479
707	20487	8449
708	20514	8419
709	20542	8390
710	20571	8361
