iter	RMSE
393	0.4520189051
394	0.4518079535
395	0.4515191842
396	0.4512035957
397	0.4508676037
398	0.4507258193
399	0.4505968603
400	0.4503751219
401	0.4500532666
402	0.4498072929
403	0.449578448
404	0.4491620974
405	0.4489948204
406	0.4488578749
407	0.4485027986
408	0.4483041758
409	0.448162025
410	0.4479493411
411	0.4477023895
412	0.4475526297
413	0.4472366589
414	0.4469997164
415	0.4467957038
416	0.4466203015
417	0.446547052
418	0.4463733553
419	0.4462001869
420	0.4460624151
421	0.4457432483
422	0.4454921149
423	0.4453697832
424	0.4449870027
425	0.4448080521
426	0.4446822495
427	0.4445350822
428	0.444331159
429	0.4441792382
430	0.4440084528
431	0.4438678976
432	0.443728268
433	0.4433951409
434	0.443242138
435	0.4430571209
436	0.4428602334
437	0.4425976685
438	0.4424830144
439	0.4422987877
440	0.4421722223
441	0.4420357273
442	0.4418186201
443	0.4416778314
444	0.4413931443
445	0.441303482
446	0.4411357264
447	0.440974835
448	0.4408478253
449	0.4407071985
450	0.4401454438
451	0.4399674623
452	0.4396824155
453	0.4395309405
454	0.4392438741
455	0.4390962956
456	0.4383754538
457	0.4382473705
458	0.4381232326
459	0.4379147602
460	0.4377180909
461	0.4375849242
462	0.4374513273
463	0.437259514
464	0.4370287615
465	0.436763729
466	0.4365985082
467	0.4364896285
468	0.4363985414
469	0.4362406743
470	0.4361110132
471	0.4358898434
472	0.4356469489
473	0.4354238629
474	0.4349135946
475	0.4348080751
476	0.4347042646
477	0.4345845312
478	0.4344460184
479	0.434222926
480	0.4340975151
481	0.4338806305
482	0.4337360862
483	0.4334729112
484	0.4333847597
485	0.4332468175
486	0.4331290377
487	0.433001567
488	0.4328874299
489	0.4327818204
490	0.4326625407
491	0.4325421675
492	0.4322683175
493	0.4321994771
494	0.4320989699
495	0.4317029006
496	0.4312172977
497	0.4310839151
498	0.4309971104
499	0.4308830553
500	0.4307411228
501	0.4306513257
502	0.4305453246
503	0.4304015335
504	0.4302967466
505	0.4301834338
506	0.430088598
507	0.4299916964
508	0.429816412
509	0.4297279629
510	0.4296029995
511	0.4292890359
512	0.4291666396
513	0.429033624
514	0.4289134829
515	0.4287562989
516	0.4285801371
517	0.4284700491
518	0.4283347093
519	0.4282142335
520	0.4280592007
521	0.4279135946
522	0.4278312752
523	0.4277129176
524	0.427260696
525	0.4271444319
526	0.4270528721
527	0.4269441788
528	0.4268323713
529	0.4266238578
530	0.4265243576
531	0.4261520802
532	0.4260463703
533	0.425938738
534	0.4258478668
535	0.4257004636
536	0.4255740006
537	0.4254692939
538	0.4251689619
539	0.4249825333
540	0.4247868371
541	0.4246728144
542	0.4245182972
543	0.4244241893
544	0.4242753184
545	0.4241470083
546	0.4240509632
547	0.4239586661
548	0.4238324576
549	0.4237168294
550	0.4234824153
551	0.4233584203
552	0.4231724811
553	0.4230811086
554	0.4229618857
555	0.4226838162
556	0.4226189705
557	0.4224987022
558	0.4223102707
559	0.4222184316
560	0.4220401774
561	0.4218962787
562	0.4217486339
563	0.4216388113
564	0.4215416753
565	0.4213969974
566	0.421289724
567	0.4211856472
568	0.4210512562
569	0.4209343866
570	0.4208139088
571	0.4207147167
572	0.4205277583
573	0.4204613076
574	0.4203257466
575	0.4201657998
576	0.4200758444
577	0.4199974739
578	0.4199143265
579	0.4197374646
580	0.4191348444
581	0.4190559137
582	0.4189435238
583	0.4188334805
584	0.4186143131
585	0.4185007381
586	0.418375469
587	0.4182730823
588	0.4182047438
589	0.4180624314
590	0.4179749145
591	0.4178910501
592	0.4177292403
593	0.4175242313
594	0.4173622674
595	0.4172500315
596	0.4171803427
597	0.4170986873
598	0.4169434918
599	0.4168600852
600	0.4167833394
601	0.4166953769
602	0.4166365785
603	0.4164789311
604	0.4159936321
605	0.4158897054
606	0.4156873742
607	0.415637205
608	0.4155546134
609	0.4154659691
610	0.415399628
611	0.4152883777
612	0.415129453
613	0.414827671
614	0.4147664811
615	0.4146756833
616	0.4145732543
617	0.4144900682
618	0.4144077303
619	0.414296395
620	0.414054493
621	0.413904322
622	0.4138034652
623	0.4136795047
624	0.4135032593
